Years Since,Clust1,Ticket Type,Num Seats
25,20+ Years,Renew Pure Hockey,1
25,20+ Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,2
24,20+ Years,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,1
23,20+ Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,1
22,20+ Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
19,15-19,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,3
5,0-9 Years,Renew Pure Hockey,2
27,20+ Years,Updated Pure Hockey,1
27,20+ Years,Updated Pure Hockey,1
27,20+ Years,Updated Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,4
2,0-9 Years,Renew Pure Hockey,4
24,20+ Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,2
22,20+ Years,Renew PH Upgrade,2
27,20+ Years,Updated Pure Hockey,2
27,20+ Years,New Pure Hockey,1
27,20+ Years,Updated Pure Hockey,2
25,20+ Years,Renew Pure Hockey,4
24,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,5
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,2
27,20+ Years,Updated Pure Hockey,2
26,20+ Years,Renew Pure Hockey,2
26,20+ Years,Updated Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
